station_code,raw_station_code,station_id,station_name,province,amphoe,utok_id,basin_id,basin_name,group_id,group_name,zero_gauge_msl,bank_level_relative_m,bank_level_msl,warning_level_msl,critical_level_msl,ground_level,qmax
E.5,E.5,191,บ้านโนนเชือก,ชัยภูมิ,จัตุรัส,3,4,ลุ่มน้ำชี,563,ลุ่มน้ำชีตอนบน,185.0,11.5,196.5,196.0,196.5,185.0,570.0
E.54,E.54,203,บ้านแก่งยาว,กาฬสินธุ์,กุฉินารายณ์,3,4,ลุ่มน้ำชี,650,ลุ่มน้ำยัง,138.3000030517578,9.0,147.3,146.8,147.3,138.3000030517578,500.0
E.57A,E.57A,158,บ้านสมสนุก,กาฬสินธุ์,เขาวง,3,4,ลุ่มน้ำชี,650,ลุ่มน้ำยัง,172.39999389648438,6.0,178.4,177.9,178.4,172.39999389648438,290.0
E.64B,E.64B,159,บ้านวังสามหาบ,หนองบัวลำภู,นาวัง,3,4,ลุ่มน้ำชี,1114,ลำพะเนียง,261.0,5.5,266.5,266.0,266.5,261.0,50.0
E.65,E.65,204,บ้านท่าไฮ,อุดรธานี,ศรีธาตุ,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,159.0,7.0,166.0,165.5,166.0,159.0,210.0
E.66A,E.66A,205,บ้านม่วงลาด,ร้อยเอ็ด,จังหาร,3,4,ลุ่มน้ำชี,789,ลุ่มน้ำชีกลาง1,126.9000015258789,11.600000381469727,138.5,138.0,138.5,126.9000015258789,710.0
E.67,E.67,562,บ้านท่างาม,กาฬสินธุ์,สามชัย,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,158.8699951171875,12.5,171.37,170.87,171.37,158.8699951171875,420.0
E.68A,E.68A,568,บ้านข้องโป้,หนองบัวลำภู,เมืองหนองบัวลำภู,3,4,ลุ่มน้ำชี,1171,ลำน้ำพอง,194.6999969482422,5.199999809265137,199.9,199.4,199.9,194.6999969482422,130.0
E.6C,E.6C,192,บ้านตาดโตน,ชัยภูมิ,เมืองชัยภูมิ,3,4,ลุ่มน้ำชี,563,ลุ่มน้ำชีตอนบน,192.6999969482422,5.5,198.2,197.7,198.2,192.6999969482422,50.0
E.70,E.70,207,บ้านกุดก่วง,ร้อยเอ็ด,โพนทอง,3,4,ลุ่มน้ำชี,650,ลุ่มน้ำยัง,131.10000610351562,9.0,140.1,139.6,140.1,131.10000610351562,500.0
E.75,E.75,208,บ้านหนองม่วง,กาฬสินธุ์,เมืองกาฬสินธุ์,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,137.0,7.5,144.5,144.0,144.5,137.0,350.0
E.76A,E.76A,162,บ้านโพน,กาฬสินธุ์,คำม่วง,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,163.89999389648438,8.600000381469727,172.5,172.0,172.5,163.89999389648438,136.0
E.79A,E.79A,163,บ้านอีเลิศ,เลย,ภูกระดึง,3,4,ลุ่มน้ำชี,1278,ลำพองโก,246.3000030517578,7.5,253.8,253.3,253.8,246.3000030517578,149.0
E.85,E.85,209,บ้านโนนหัน,ขอนแก่น,ชุมแพ,3,4,ลุ่มน้ำชี,664,ลุ่มน้ำเชิญ,224.8000030517578,5.199999809265137,230.0,229.5,230.0,224.8000030517578,70.0
E.87,E.87,210,บ้านวังหิน,กาฬสินธุ์,กมลาไสย,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,128.89999389648438,8.5,137.4,136.9,137.4,128.89999389648438,280.0
E.88,E.88,563,บ้านดงสวรรค์,กาฬสินธุ์,ท่าคันโท,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,163.05999755859375,4.5,167.56,167.06,167.56,163.05999755859375,90.0
E.89,E.89,564,บ้านหนองริวหนัง,กาฬสินธุ์,หนองกุงศรี,3,4,ลุ่มน้ำชี,449,ลุ่มน้ำลำปาว,170.60000610351562,5.5,176.1,175.6,176.1,170.60000610351562,60.0
E.8A,E.8A,193,บ้านดินดำ,มหาสารคาม,เมืองมหาสารคาม,3,4,ลุ่มน้ำชี,745,ลุ่มน้ำชีกลาง,133.1999969482422,9.5,142.7,142.2,142.7,133.1999969482422,730.0
E.9,E.9,194,บ้านท่านางเลื่อน,ขอนแก่น,ชนบท,3,4,ลุ่มน้ำชี,745,ลุ่มน้ำชีกลาง,151.10000610351562,11.0,162.1,161.6,162.1,151.10000610351562,480.0
